M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
gene111,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,304.134664314334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.785793129232,0,0,0,0,365.551312096316,308.041918667001,0,0,0,0,0,0,0,0,0,0,231.735399839764,0,0,0,0,245.804797896866,0,201.844752993538,241.415943142882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.695490975031,0,0,289.939912047368,0,0,0,0,0,0,0
gene112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.128200250571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene113,0,0,287.130979305059,682.4373087153,0,439.554046515381,0,0,350.95318333439,0,0,146.722429446298,315.796956115575,0,0,0,190.01780511454,365.273970098773,0,162.445201571458,223.835220833551,0,0,277.282158149031,0,0,0,0,0,0,0,0,0,0,0,0,285.188017006075,365.551312096316,0,0,0,0,0,0,0,250.977627257365,176.322479597547,0,0,0,0,366.956674384658,0,416.717915958976,245.804797896866,0,201.844752993538,180.200185903583,0,0,341.257126823003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.050818936911,0,0,0,0,297.915864961416,0,0
gene114,198.230550020921,189.793207259923,0,468.668280130982,0,0,0,410.798113809096,0,0,0,188.503031074248,0,0,263.714182185751,0,253.583281609682,0,150.223262699853,0,0,193.529182665549,0,0,304.888107641679,0,0,0,0,0,0,0,312.729365423446,0,0,297.390220027667,350.21306041997,365.551312096316,0,0,0,259.414854908703,0,0,304.806059933049,0,0,0,0,0,265.431228997632,0,0,0,0,0,254.001881986979,206.928855476267,311.712687682785,0,341.257126823003,0,365.440493051789,0,0,0,0,307.519343987219,0,323.22463149049,0,353.134684696176,0,0,0,0,0,236.079823293688,156.468681569191,0,247.368674118141,0,0
gene115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.281080036598,0,233.398355796111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.055616083811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene116,0,0,0,0,313.237727717841,263.934817532526,0,0,350.95318333439,0,0,0,0,0,0,0,266.513330267257,0,0,0,0,0,0,0,238.176795919776,0,0,0,0,0,0,0,223.055694599317,0,389.592548540569,0,0,0,0,0,0,259.414854908703,237.143465676178,0,0,0,0,364.140811955024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene117,0,189.793207259923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.282417000016,0,0,0,0,0,312.641804784015,0,0,0,0,338.869408770274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.169030659444,0
gene118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.2684273632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.302927745181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene119,198.230550020921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.509359908345,0,178.792326836104,0,0,0,0,336.785793129232,0,0,0,0,365.551312096316,0,252.597779100809,0,181.535810211439,187.534920913167,0,0,0,0,0,0,231.735399839764,0,0,0,0,0,0,0,0,0,0,0,205.896936099827,0,0,0,198.795821271718,0,0,0,0,0,0,0,0,0,0,397.836849057625,0,0,0,297.915864961416,0,0
gene120,0,138.12489886743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.597149925969,0,0,0,0,0,0,252.067421263456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.181389128346,0,0,0,0,0,0,0,0,236.079823293688,199.26131680459,0,0,0,0
gene121,0,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,0,0,0,0,264.281080036598,191.626668891664,0,0,147.597149925969,0,502.256773472644,0,0,0,0,170.172947736864,0,187.945897675754,0,0,0,0,0,0,365.551312096316,0,0,0,0,0,0,0,177.484771285837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.711278980325,0,0,0,0,247.723341195641,181.535810211439,0,0,0,0,0,0,0,0,0,450.792387505494,0,0,0,0,254.001881986979,0,0,0,0,0,0,0,0,0,0,0,217.181389128346,0,0,0,0,0,0,182.694642578873,0,0,0,0,0,302.320295244679,0
gene123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.225163657526,0,0,0,0,0,0,0,0,0,0,0,344.72264827499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.724161762501,0,0,0,0,0,0,0,156.468681569191,0,0,0,249.332495940303
gene124,0,0,0,0,0,0,0,456.691533223252,0,444.516178005133,542.516765082743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.689553507719,0,0,0,0,0,338.869408770274,0,0,0,241.445483016068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.283797089513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.292296770769,0,0,0,0,0,0
gene125,0,189.793207259923,0,0,0,0,0,0,0,444.516178005133,0,146.722429446298,208.904495595251,0,263.714182185751,304.134664314334,190.01780511454,0,0,206.711676960163,0,147.597149925969,0,0,238.176795919776,0,0,0,274.404401707639,228.460355860848,128.216808789051,272.2684273632,0,342.131422712371,0,0,0,0,251.092562498153,177.276104483276,0,0,0,0,0,177.484771285837,200.159486730118,0,0,307.432739532442,0,0,0,0,245.804797896866,0,0,0,0,0,277.085048909376,205.896936099827,0,0,253.055616083811,249.175238318059,0,217.037299676303,0,360.147269506877,0,259.923683057579,0,0,120.218227301998,0,0,0,199.26131680459,0,0,0,249.332495940303
gene126,0,138.12489886743,0,0,429.907476754571,0,0,0,274.128785320885,0,378.23670858171,257.888361918655,0,0,263.714182185751,304.134664314334,0,0,216.613248748589,267.527211020314,289.562548019823,257.782590494953,206.886903175554,0,345.209125308383,303.737605088049,0,0,0,228.460355860848,0,0,0,0,389.592548540569,241.445483016068,0,0,251.092562498153,177.276104483276,195.252121409941,0,0,0,0,0,200.159486730118,0,0,0,265.431228997632,0,0,0,194.940991154112,0,201.844752993538,0,0,0,0,256.159359970651,365.440493051789,0,0,0,220.219652384387,0,0,323.22463149049,0,377.954267093283,0,0,120.218227301998,0,326.292296770769,0,156.468681569191,0,0,0,0
gene127,198.230550020921,0,0,519.075333862408,633.657549156015,0,312.560321828853,410.798113809096,0,444.516178005133,0,213.796620856832,0,0,263.714182185751,0,0,365.273970098773,216.613248748589,299.252407852565,153.437145985105,0,0,0,0,215.509359908345,0,0,354.360716070191,0,165.396177066601,0,0,0,389.592548540569,354.522870973359,285.188017006075,0,196.261139846616,0,195.252121409941,296.809751599052,318.767579285605,0,0,250.977627257365,200.159486730118,344.321201213452,315.97103103233,231.735399839764,315.302927745181,0,466.487775254339,416.717915958976,194.940991154112,299.043246724718,285.304110219513,264.46982892698,0,313.508684754421,341.257126823003,338.168303177995,556.545274616812,516.041707910536,253.055616083811,0,325.174671720971,0,217.181389128346,0,408.977258712994,377.954267093283,0,329.240184189525,120.218227301998,255.306041026869,326.292296770769,236.079823293688,243.60335597934,424.092724655954,198.13929335806,302.320295244679,282.298211257356
gene128,0,0,0,468.668280130982,0,0,0,0,0,0,0,0,0,0,208.461323100732,0,190.01780511454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.971438037384,0,0,0,0,0,0,0,0,0,0,0,0,176.322479597547,0,0,275.301868115583,0,0,0,0,0,0,0,206.928855476267,0,0,341.257126823003,286.197275127321,0,357.519339338414,0,0,0,0,0,261.318450683195,0,0,0,295.345083688609,233.335701692264,0,0,0,0,0,198.13929335806,0,194.789087961852
gene129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.792387505494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene130,0,0,0,0,0,0,0,0,0,0,0,188.503031074248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.096901384542,0,223.411506788147,0,0,0,0,0,0,0,0,0,220.829097576407,0,0,0,0,0,0,0,0,0,0,325.174671720971,0,0,0,0,0,437.374007006225,0,0,0,0,0,0,0,198.13929335806,0,0
gene131,0,0,0,0,0,0,312.560321828853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.509359908345,0,0,0,228.460355860848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.229184993941,0,0,0,0,0,0
gene132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.223262699853,162.445201571458,0,0,0,0,0,0,312.641804784015,283.291332034024,0,0,0,0,0,342.131422712371,0,0,0,0,0,0,0,0,0,0,0,0,176.322479597547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.724161762501,0,0,0,187.662905916879,0,0,236.079823293688,156.468681569191,0,198.13929335806,0,0
gene133,0,189.793207259923,0,468.668280130982,0,0,0,410.798113809096,274.128785320885,0,0,146.722429446298,0,0,0,0,0,0,0,162.445201571458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.21306041997,365.551312096316,196.261139846616,177.276104483276,0,0,187.534920913167,0,211.306972881006,0,0,195.180806352834,315.97103103233,0,0,450.792387505494,0,334.655794176542,0,0,201.844752993538,136.61519196367,0,0,0,0,0,0,202.789377098837,0,0,0,0,0,0,0,0,0,120.218227301998,0,0,0,0,0,0,0,194.789087961852
gene134,0,0,0,0,0,349.232509363034,0,0,0,0,0,0,0,0,208.461323100732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.723341195641,0,0,0,0,0,0,195.180806352834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.298500605472,0,0,0,0,0,199.26131680459,0,0,0,0
gene135,0,138.12489886743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.445201571458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.261139846616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.49296902178,0,316.695770355906,0,0,0,0,0,221.180665707808,0,0,0,0,0,0,0,0
gene136,198.230550020921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.281080036598,0,0,0,0,0,0,0,263.938181425906,0,0,0,0,0,0,0,0,389.592548540569,0,0,365.551312096316,0,0,301.994799878861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.050818936911,0,0,156.468681569191,0,0,0,0
gene137,0,222.25122240477,0,0,0,0,229.982515570014,0,0,0,0,146.722429446298,0,0,0,304.134664314334,0,264.281080036598,0,0,0,0,0,0,0,168.828053561003,0,229.978251497235,170.172947736864,0,128.216808789051,0,0,342.131422712371,0,0,0,0,251.092562498153,0,247.723341195641,181.535810211439,0,0,0,177.484771285837,176.322479597547,195.180806352834,0,231.735399839764,216.512308960418,0,0,0,0,0,201.844752993538,0,0,0,0,0,0,0,202.789377098837,249.175238318059,0,217.037299676303,0,0,0,0,0,0,0,228.122153793122,0,0,0,0,0,0,0
gene138,0,0,0,0,0,349.232509363034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.282417000016,0,206.886903175554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.317289418541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.61519196367,0,0,0,0,0,0,0,0,0,0,0,0,0,377.954267093283,0,0,0,0,0,0,156.468681569191,0,0,0,0
gene139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.281080036598,0,206.711676960163,242.939708293624,0,0,277.282158149031,0,0,0,0,0,0,0,338.869408770274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.180806352834,0,0,0,0,0,0,0,0,0,180.200185903583,0,0,0,0,0,0,202.789377098837,0,0,0,0,450.603724647765,0,0,0,0,0,182.694642578873,0,0,0,0,247.368674118141,0,194.789087961852
gene140,0,280.121719246668,287.130979305059,0,0,0,0,0,0,0,0,188.503031074248,261.609566106696,0,320.783293086827,0,190.01780511454,0,0,206.711676960163,242.939708293624,291.577671072434,289.212226237683,346.577350872907,238.176795919776,168.828053561003,0,260.98240305559,221.084704463783,0,128.216808789051,0,0,0,0,0,0,365.551312096316,196.261139846616,224.30937847502,195.252121409941,0,0,216.096901384542,0,270.738447875189,200.159486730118,0,403.819588264368,163.774078233922,0,366.956674384658,0,0,341.242662038711,269.891516996954,254.001881986979,136.61519196367,0,313.508684754421,0,0,0,0,283.128200250571,0,220.219652384387,0,266.451964712608,323.22463149049,265.724161762501,259.923683057579,0,0,206.429384832784,228.122153793122,0,293.015940760214,199.26131680459,477.392524651696,198.13929335806,302.320295244679,0
gene141,0,189.793207259923,0,0,0,0,0,0,0,0,0,0,261.609566106696,0,0,0,0,264.281080036598,0,0,153.437145985105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.322479597547,0,0,0,216.512308960418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.795821271718,0,0,0,261.318450683195,0,318.378802497965,0,0,0,182.694642578873,0,0,0,0,0,0,0
gene142,0,0,0,0,689.138057988724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.835220833551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.718511772062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.181389128346,0,0,0,0,0,120.218227301998,0,0,0,0,0,0,0,0
gene143,0,0,0,0,0,0,0,0,0,0,569.343155660824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.534920913167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.283797089513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene144,0,0,287.130979305059,468.668280130982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.626668891664,206.711676960163,0,0,0,0,0,168.828053561003,0,0,0,0,0,0,0,0,389.592548540569,297.390220027667,285.188017006075,0,0,177.276104483276,0,0,0,0,0,0,136.981735043308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.789377098837,0,0,217.037299676303,0,261.318450683195,0,0,323.881592846336,238.534537820057,0,182.694642578873,0,0,0,0,0,0,0
gene145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.858893010032,0,191.626668891664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.893437093106,0,230.151356002881,0,245.351510755286,0,0,0,0,0,0,0,0,0,0,315.34996513298,0,0,0,279.283797089513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.694642578873,513.545095183606,0,0,424.092724655954,198.13929335806,0,0
gene146,0,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene147,198.230550020921,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,371.738969547604,0,0,190.01780511454,0,150.223262699853,0,153.437145985105,147.597149925969,0,0,0,215.509359908345,0,178.792326836104,0,0,0,0,0,0,389.592548540569,0,0,0,0,0,195.252121409941,280.417001197333,266.973342567725,0,0,327.010061546757,0,0,0,0,0,0,466.487775254339,0,0,0,0,0,224.978831516386,0,0,0,0,0,0,279.364866916492,0,217.037299676303,0,323.22463149049,0,0,360.335992710007,0,120.218227301998,0,326.292296770769,0,156.468681569191,0,0,0,194.789087961852
gene148,0,222.25122240477,404.381655150946,0,0,0,0,0,0,0,0,246.213355725394,347.883092386286,371.738969547604,263.714182185751,0,0,264.281080036598,260.089679973792,252.563260644971,0,193.529182665549,364.894414943628,0,238.176795919776,215.509359908345,386.00452721854,0,274.404401707639,0,0,0,279.140601198114,0,534.399038254262,373.064639590139,285.188017006075,0,341.918721541228,224.30937847502,0,280.417001197333,266.973342567725,245.351510755286,269.614286615497,286.152379830845,217.313613434699,317.893507204293,403.819588264368,307.432739532442,344.72264827499,0,466.487775254339,569.665726346198,0,269.891516996954,0,264.46982892698,0,313.508684754421,379.477343211755,256.159359970651,0,357.519339338414,0,0,376.141693595134,432.851850089865,0,0,0,318.378802497965,386.390033488089,0,161.843100571576,255.306041026869,0,236.079823293688,0,0,314.355159256652,479.276195297165,249.332495940303
gene149,471.270741842795,0,0,0,0,0,661.098623383058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.390054246456,0,0,0,0,0,0,312.966517608992,0,0,0,558.010891012944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.717915958976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.469886027492,0,0,0,0,0,0,0
gene150,0,138.12489886743,0,0,0,0,0,0,0,0,0,146.722429446298,0,371.738969547604,0,0,0,0,0,0,0,147.597149925969,0,0,0,0,0,0,0,0,165.396177066601,0,0,0,0,0,0,0,0,0,0,230.151356002881,0,216.096901384542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.795821271718,0,0,0,0,0,0,0,0,187.662905916879,289.939912047368,0,0,225.067947245205,0,0,0,0
gene151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.01780511454,0,0,0,0,0,0,0,238.176795919776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.276104483276,0,0,0,216.096901384542,0,0,136.981735043308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene152,0,0,0,0,0,0,229.982515570014,0,274.128785320885,0,0,0,0,0,0,0,0,0,0,0,0,147.597149925969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.200185903583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene153,0,0,0,0,0,0,0,0,274.128785320885,0,0,0,0,0,0,0,0,0,0,0,0,147.597149925969,0,0,0,0,0,178.792326836104,0,0,0,0,0,278.971438037384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.97103103233,0,0,0,0,0,0,0,0,0,0,0,0,205.896936099827,0,0,0,0,0,0,0,0,0,259.923683057579,0,0,120.218227301998,0,0,0,0,424.092724655954,0,0,0
gene154,0,0,0,0,0,0,0,0,0,0,0,0,0,371.738969547604,0,0,0,0,0,0,0,147.597149925969,0,0,0,0,0,178.792326836104,0,0,0,0,0,0,0,0,0,0,196.261139846616,252.597779100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.273562431319,0,0,0,0,0,0,0,0,0,0,0
gene155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.252407852565,0,0,0,0,0,0,0,0,0,228.460355860848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.829097576407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene156,0,138.12489886743,0,0,0,263.934817532526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.437145985105,147.597149925969,289.212226237683,0,0,168.828053561003,0,0,0,0,165.396177066601,0,0,0,0,0,0,0,0,252.597779100809,0,0,187.534920913167,0,0,0,0,0,0,163.774078233922,0,0,0,0,0,220.829097576407,201.844752993538,180.200185903583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.694642578873,0,236.079823293688,0,0,0,0,0
gene157,0,189.793207259923,0,0,0,0,229.982515570014,0,0,0,0,146.722429446298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.992620456447,0,0,0,0,0,0,0,0,0,0,0,0,377.287167207512,0
gene158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.789692268115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.092562498153,0,0,0,0,0,0,0,0,0,0,163.774078233922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene160,0,0,0,0,0,263.934817532526,0,0,0,0,0,0,0,371.738969547604,0,0,144.636619570738,0,0,0,0,147.597149925969,0,0,0,0,0,0,0,312.966517608992,0,0,0,379.698859363095,0,0,0,0,434.76899864239,0,0,0,0,0,211.306972881006,0,200.159486730118,0,0,163.774078233922,0,0,0,0,0,0,0,180.200185903583,0,0,0,412.41514570123,0,0,0,0,0,0,0,0,0,259.923683057579,262.695490975031,0,0,0,0,0,199.26131680459,0,357.896879398192,0,0
gene161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.159359970651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.445824517721,0,0,0,0,0
gene162,0,0,0,0,0,0,0,0,0,444.516178005133,0,0,0,0,0,0,0,0,0,0,257.871917057711,0,0,0,0,0,0,0,0,0,0,0,0,406.530274656931,0,0,0,0,196.261139846616,0,0,0,0,0,269.614286615497,0,136.981735043308,0,0,0,0,0,0,465.775345630779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.724161762501,397.273562431319,0,0,120.218227301998,0,0,0,156.468681569191,0,0,0,0
gene163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.176795919776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.614286615497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene164,0,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.338362881636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.110894280271,0,0,0,0,0,0,0,0,0,0,0,0,0
gene165,0,0,0,0,0,0,0,0,350.95318333439,0,0,0,208.904495595251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.172947736864,0,0,0,0,0,0,241.445483016068,0,0,0,0,0,0,0,245.351510755286,0,223.411506788147,136.981735043308,0,0,0,0,0,0,0,0,0,0,0,0,0,341.257126823003,0,0,357.519339338414,0,0,0,0,0,0,0,259.923683057579,0,0,161.843100571576,0,0,0,199.26131680459,0,0,0,0
gene166,0,0,0,0,0,0,229.982515570014,0,0,0,0,0,0,0,0,0,0,0,150.223262699853,162.445201571458,197.282417000016,193.529182665549,0,0,0,0,386.00452721854,0,0,0,0,0,0,0,0,0,0,0,0,0,279.317289418541,0,0,0,0,177.484771285837,136.981735043308,0,456.878721991386,0,294.524733642151,0,0,0,341.242662038711,0,0,0,0,0,0,0,0,357.519339338414,202.789377098837,0,0,0,217.181389128346,0,265.724161762501,0,0,329.240184189525,120.218227301998,0,397.836849057625,236.079823293688,0,0,0,0,194.789087961852
gene167,328.717424143994,0,404.381655150946,0,0,349.232509363034,312.560321828853,0,0,444.516178005133,0,246.213355725394,261.609566106696,573.270213286752,0,449.33884105651,237.858893010032,365.273970098773,278.315724407641,206.711676960163,197.282417000016,221.609958698346,328.48316446529,532.404606215847,0,243.689553507719,0,229.978251497235,170.172947736864,228.460355860848,227.297361621151,429.365132862645,370.914871088814,278.971438037384,648.650852066403,241.445483016068,416.544951952888,493.222572359337,251.092562498153,224.30937847502,195.252121409941,355.211513801218,187.534920913167,167.822677815762,211.306972881006,223.411506788147,200.159486730118,441.897771840185,0,387.723071583822,265.431228997632,0,0,0,245.804797896866,0,325.243927704504,241.415943142882,279.283797089513,462.200333273987,277.085048909376,205.896936099827,365.440493051789,482.741361933201,356.954408418642,198.795821271718,0,217.037299676303,217.181389128346,323.22463149049,326.642350846685,397.273562431319,0,329.240184189525,233.335701692264,302.374284959178,326.292296770769,351.334648599811,309.670117589369,0,0,0,0
gene168,0,0,0,0,0,0,229.982515570014,410.798113809096,0,0,0,0,0,0,0,0,190.01780511454,264.281080036598,0,206.711676960163,197.282417000016,147.597149925969,0,0,0,0,0,0,0,0,128.216808789051,0,0,0,0,0,0,0,0,177.276104483276,0,0,0,167.822677815762,211.306972881006,0,0,195.180806352834,0,307.432739532442,315.302927745181,366.956674384658,0,0,0,0,201.844752993538,136.61519196367,224.978831516386,0,0,0,0,357.519339338414,0,0,285.49296902178,217.037299676303,295.761405056592,0,0,0,0,0,0,182.694642578873,326.292296770769,0,0,0,0,0,0
